Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2023,JAN 2024,FEB 2024,MAR 2024,APR 2024,MAY 2024,JUN 2024,JULY 2024,AUG 2024,SEP 2024,OCT 2024,NOV 2024,ANNUAL TOTAL,,,,,
Apple Inc.,AVT030,2T2BGMCA3GC007861,6,1680.5,2443.7,2604.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6728.4,,,,,
Apple Inc.,AVT030,2T2BGMCA3GC007911,9,372.8,1277.0,1149.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2799.5,,,,,
Apple Inc.,AVT030,2T2BGMCA3HC014584,7,889.7,1366.0,2167.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4423.6,,,,,
Apple Inc.,AVT030,2T2BGMCA3HC020062,0,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,,,,,
Apple Inc.,AVT030,2T2BGMCA4HC016845,17,1889.4,2360.2,2179.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6429.4,,,,,
Apple Inc.,AVT030,2T2BGMCA4HC016912,3,1461.2,1384.1,2725.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5571.0,,,,,
Apple Inc.,AVT030,2T2BGMCA4HC019826,7,1692.9,1540.1,704.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3937.2,,,,,
Apple Inc.,AVT030,2T2BGMCA4HC020118,3,0.0,232.7,1948.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.8,,,,,
Apple Inc.,AVT030,2T2BGMCA5HC014389,13,1966.7,2003.0,2318.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6288.4,,,,,
Apple Inc.,AVT030,2T2BGMCA5HC019432,4,0.0,2205.6,275.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2481.3,,,,,
Apple Inc.,AVT030,2T2BGMCA5HC019818,14,1822.8,2534.7,2206.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6563.9,,,,,
Apple Inc.,AVT030,2T2BGMCA6GC007983,1,1635.4,2842.8,2197.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6675.8,,,,,
Apple Inc.,AVT030,2T2BGMCA6HC016667,9,1853.4,1893.6,2364.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6111.6,,,,,
Apple Inc.,AVT030,2T2BGMCA7GC003781,0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,,,,,
Apple Inc.,AVT030,2T2BGMCA7GC007068,6,1066.0,2273.9,1453.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4793.7,,,,,
Apple Inc.,AVT030,2T2BGMCA7HC014877,4,259.6,2271.3,2764.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5295.1,,,,,
Apple Inc.,AVT030,2T2BGMCA8GC003823,1,1653.0,562.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2216.2,,,,,
Apple Inc.,AVT030,2T2BGMCA8GC007371,6,1587.5,1518.8,2481.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5587.8,,,,,
Apple Inc.,AVT030,2T2BGMCA8HC016136,2,0.0,666.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.0,,,,,
Apple Inc.,AVT030,2T2BGMCA8HC019540,1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,,,,
Apple Inc.,AVT030,2T2BGMCA8HC020137,17,1583.7,2294.7,2419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6297.4,,,,,
Apple Inc.,AVT030,2T2BGMCA9GC007394,17,1016.6,1904.3,488.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3409.8,,,,,
Apple Inc.,AVT030,2T2BGMCA9HC019126,7,1806.8,1723.4,1413.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4943.4,,,,,
Apple Inc.,AVT030,2T2BGMCA9HC019532,15,1585.9,2482.4,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5016.3,,,,,
Apple Inc.,AVT030,2T2BGMCAXHC018051,8,1269.7,2506.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3776.1,,,,,
Apple Inc.,AVT030,2T2BGMCAXHC019927,13,1690.0,0.0,2276.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3966.1,,,,,
Apple Inc.,AVT030,2T2BGMCAXHC020026,16,1922.4,1775.3,2520.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6218.5,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC014753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA2GC007754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC016082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA5HC019737,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA1HC014096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA6HC019228,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA8GC008505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA5GC006145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC020151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCAXHC018082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA8HC019411,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA4GC005228,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA2GC007334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA7HC017262,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA8HC019876,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA1HC016933,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA7GC008382,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC019709,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA8GC008424,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC015899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA8GC003871,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA9HC019305,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA2GC003882,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCAXGC006416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA5HC019219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA9GC008464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA8HC017772,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC019967,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCAXHC014310,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Apple Inc.,AVT030,2T2BGMCA2GC008418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N77LR196426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N79LR196427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N72LR287877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N72LR289824,0,0,0,0,0,0,0,0,3,2,2,0,0,7,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N79LR289822,0,0,0,0,0,0,0,0,2,3,4,3,9,21,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N70LR289823,0,0,0,0,0,0,0,0,3,3,0,0,4,10,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N74LR289825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N72LR287880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N76LR287882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N74LR287878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N76LR287879,0,0,27,36,25,15,23,0,0,0,0,0,0,126,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N74LR287881,0,128,299,315,114,131,124,174,247,231,173,263,238,2437,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N78LR239994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N79LR235193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N75LR235904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N7XLR235087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N71LR235088,0,184,237,201,177,168,152,97,0,0,54,76,61,1407,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N73LR235089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N75LR235188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N77LR235189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N73LR235190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N75LR235191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N77LR235192,0,0,0,0,0,0,0,0,0,87,102,15,0,204,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N70RL235194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N72LR235195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N74LR235196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N76LR235197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N78LR235198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N7XLR235199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N72LR235200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N74LR235201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N76LR235202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N78LR235203,0,52,153,196,86,117,94,86,57,5,13,0,0,859,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N7XLR235204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N71LR235205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N73LR235206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N75LR235207,0,165,214,224,157,163,162,154,251,253,185,234,226,2388,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N73LR235903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,3LN6L5LU1HR637709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,3LN6L5MU9JR614778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,3LN6L5MU5JR618391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,3LN6L5MUXJR626177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,3NL6L5MU8JR628090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"AutoX Technologies, Inc.",AVT021,2C4RC1N73JR229418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BOSCH,AVT006,WDD2221591A470497,4,0,19.96,0,0,,,,,,,,,19.96,,,,,
BOSCH,AVT006,WDD2221591A470796,73,34.98,57.89,46.4,4.98,,,,,,,,,144.25,,,,,
Cruise LLC,AVT008,5G21A6P02N4121085,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.43,666.65,801.08,,,,,
Cruise LLC,AVT008,5G21A6P03N4121595,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,147.35,606.07,753.42,,,,,
Cruise LLC,AVT008,5G21A6P02N4121619,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.99,551.59,681.58,,,,,
Cruise LLC,AVT008,5G21A6P00N4121618,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.11,531.12,673.23,,,,,
Cruise LLC,AVT008,5G21A6P05P4114537,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.17,565.02,669.19,,,,,
Cruise LLC,AVT008,5G21A6P01P4112199,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.23,536.69,666.92,,,,,
Cruise LLC,AVT008,5G21A6P02P4133305,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.72,478.19,603.91,,,,,
Cruise LLC,AVT008,5G21A6P04P4124301,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.95,455.77,593.72,,,,,
Cruise LLC,AVT008,5G21A6P08P4119909,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.19,452.94,592.13,,,,,
Cruise LLC,AVT008,5G21A6P09N4121603,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.11,470.05,504.16,,,,,
Cruise LLC,AVT008,5G21A6P04N4121086,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128.74,372.02,500.76,,,,,
Cruise LLC,AVT008,5G21A6P02P4106895,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,488.49,489.36,,,,,
Cruise LLC,AVT008,5G21A6P0XN4121609,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,478.55,478.55,,,,,
Cruise LLC,AVT008,5G21A6P01P4139287,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P08P4128612,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00L4100054,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00L4100068,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00L4100071,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00L4100135,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4118976,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4121599,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4121604,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4121621,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4121649,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4121652,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4121697,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00N4122106,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4100061,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4100092,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4110699,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4115689,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4122593,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4123193,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4125459,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4127180,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4130239,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4133304,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4145405,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4145730,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4147106,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4147395,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4148868,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4148871,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4150524,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4150779,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4150782,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4151043,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Cruise LLC,AVT008,5G21A6P00P4154377,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
